,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
54,2.7,1280,122,9.6,964,193,963,1544,1285,9.5,64.1,0.7597,113
55,1.9,1196,67,7.4,873,139,1071,1463,1144,9.1,63.9,0.7423,97
56,1.6,1184,43,5.4,782,83,1176,1365,1043,8.8,63.9,0.7256,82
57,1.7,1172,46,5.4,783,-200,1179,1380,996,7.8,67.5,0.7173,-200
58,-200.0,1147,56,6.2,821,109,1132,1412,992,7.0,71.1,0.7158,83
59,1.0,978,30,2.6,625,62,1420,1274,819,8.3,63.6,0.6982,65
60,1.2,1100,27,2.9,646,53,1406,1268,835,7.2,67.5,0.6887,60
61,1.5,1112,47,5.1,770,139,1228,1409,940,6.3,71.9,0.6932,77
62,2.7,1336,132,11.8,1043,256,935,1678,1192,6.5,71.6,0.6945,96
63,3.7,1408,239,15.1,1153,295,830,1777,1411,9.6,59.7,0.7124,119
64,3.2,1447,160,12.9,1081,250,869,1667,1465,12.4,51.2,0.7335,126
65,4.1,1542,283,16.1,1184,296,808,1780,1583,15.6,42.2,0.7451,158
66,3.6,1451,210,14.0,1117,239,875,1679,1387,18.4,33.8,0.709,161
67,2.8,1328,154,12.3,1059,153,987,1600,1101,19.4,31.3,0.695,124
68,2.0,1207,112,8.6,924,118,1088,1488,850,18.0,34.8,0.7127,102
69,2.0,1240,108,9.2,947,119,1049,1532,947,18.4,33.6,0.7042,116
70,2.5,1306,111,10.2,987,138,1004,1554,1078,17.6,35.1,0.7012,124
71,2.3,1326,97,10.6,1000,148,976,1602,1084,16.7,37.8,0.7117,125
72,3.2,1473,191,15.5,1163,227,831,1779,1395,16.1,41.0,0.7451,148
73,4.2,1609,258,19.6,1286,277,758,1922,1612,15.8,42.4,0.7569,165
74,4.2,1611,284,19.2,1274,279,754,1915,1697,15.7,44.1,0.7786,161
75,4.2,1621,269,18.3,1247,283,762,1860,1886,15.3,46.8,0.8091,159
76,3.1,1444,180,13.1,1089,214,844,1748,1624,14.6,48.6,0.806,143
77,2.6,1418,116,10.9,1010,172,892,1603,1536,14.7,49.3,0.8193,130
78,2.9,1534,93,11.0,1013,190,889,1611,1535,13.9,53.6,0.8498,129
79,2.8,1484,131,11.9,1045,174,880,1624,1530,14.6,51.5,0.8536,119
80,2.5,1367,92,8.6,925,128,953,1543,1337,12.5,58.9,0.8537,104
81,2.4,1344,132,9.7,968,-200,921,1620,1278,11.6,63.4,0.8674,-200
82,-200.0,1130,56,5.2,773,70,1130,1452,1051,12.1,61.1,0.8603,82
83,1.2,1062,32,3.7,691,53,1272,1377,929,11.5,63.1,0.8533,70
84,1.0,1076,29,2.5,618,44,1395,1333,872,11.6,62.2,0.8473,63
85,0.9,1028,27,2.4,615,74,1384,1340,853,10.4,67.6,0.853,67
86,1.4,1155,36,4.2,722,101,1225,1414,959,11.6,62.7,0.853,84
87,1.6,1235,57,6.4,828,118,1055,1527,1093,12.4,60.0,0.8627,83
88,2.2,1332,129,8.6,923,144,952,1614,1225,14.5,53.1,0.8728,98
89,2.8,1445,148,10.9,1009,176,878,1696,1355,16.9,46.1,0.8789,114
90,2.8,1416,145,10.7,1002,161,907,1677,1262,19.3,38.3,0.8474,119
91,2.0,1281,93,7.5,880,113,1084,1525,980,21.2,31.4,0.7812,104
92,1.8,1207,84,7.5,879,103,1104,1490,872,21.4,30.2,0.7616,102
93,1.9,1258,99,8.2,906,112,1081,1511,900,21.9,29.0,0.7525,107
94,3.0,1458,150,11.9,1045,170,974,1646,1099,22.2,28.4,0.7516,129
95,2.9,1438,156,12.0,1051,180,943,1668,1206,21.3,30.8,0.7696,128
96,2.5,1478,122,12.2,1055,160,929,1671,1262,19.7,36.7,0.8307,121
97,4.6,1808,262,20.6,1312,261,753,1993,1698,18.4,41.7,0.8732,157
98,5.9,1898,341,23.1,1381,325,681,2103,1905,17.6,46.1,0.921,173
99,3.4,1560,214,14.7,1140,217,784,1818,1648,16.7,49.6,0.932,146
100,2.1,1324,100,9.0,940,146,924,1587,1423,16.3,51.0,0.9341,121
101,2.2,1349,79,8.8,933,152,933,1617,1349,14.7,55.9,0.9314,119
102,1.8,1239,66,7.4,872,104,985,1547,1250,14.8,54.7,0.9164,99
103,1.8,1239,73,6.9,853,106,1010,1543,1174,14.0,57.0,0.9094,93
104,1.8,1224,66,7.0,855,108,998,1566,1149,13.4,61.3,0.9361,88
105,1.1,1078,44,4.4,734,-200,1128,1487,1021,12.6,63.5,0.923,-200
106,-200.0,1078,44,4.0,711,66,1150,1468,1013,12.3,65.4,0.9351,71
107,1.0,1075,39,3.9,703,88,1156,1464,1010,11.9,67.4,0.9375,74
108,1.4,1157,51,6.4,830,138,1030,1584,1083,11.4,70.5,0.9475,80
109,2.2,1314,107,9.7,966,228,897,1710,1235,11.3,70.2,0.9401,89
110,5.5,1797,336,25.9,1451,360,652,2323,1680,12.4,63.9,0.917,114
111,8.1,1961,618,36.7,1701,478,537,2665,2184,14.8,54.3,0.9076,149
112,5.8,1771,438,26.6,1470,394,622,2262,1973,17.4,45.6,0.8993,157
113,4.2,1564,334,20.1,1300,319,710,2029,1798,19.8,38.5,0.8801,155
114,3.1,1430,221,14.1,1120,201,831,1783,1522,22.0,34.1,0.8904,134
115,2.9,1417,207,14.9,1146,171,830,1831,1404,23.3,32.2,0.9096,119
116,2.9,1400,191,15.4,1162,159,838,1829,1263,23.9,30.0,0.8757,111
117,2.5,1317,185,12.1,1053,153,926,1707,1137,24.4,28.9,0.8736,104
118,2.3,1318,141,11.5,1033,143,950,1675,1068,24.4,29.4,0.8848,99
119,2.8,1445,214,14.8,1141,156,857,1824,1252,23.8,31.3,0.9137,110
120,6.1,1917,471,32.1,1601,314,631,2447,1843,22.5,35.4,0.9547,162
121,8.0,2040,685,39.2,1754,404,542,2679,2122,20.4,42.5,1.0086,187
122,6.5,1895,538,31.0,1573,320,565,2443,1992,18.3,52.6,1.0945,165
123,4.2,1595,319,19.9,1294,256,678,2058,1707,16.7,57.4,1.0786,145
124,3.2,1439,224,15.3,1159,193,764,1856,1494,15.7,60.2,1.0654,125
125,1.4,1142,67,6.9,852,89,1008,1547,1164,15.3,61.4,1.058,101
126,2.1,1304,155,11.1,1019,127,852,1731,1272,14.1,65.7,1.0494,103
127,1.2,1074,49,5.4,784,79,1098,1483,1040,14.8,60.6,1.0148,88
128,0.8,968,29,2.8,640,43,1320,1386,867,14.8,59.2,0.9879,61
129,0.7,929,25,2.3,608,-200,1376,1364,826,13.6,62.1,0.9636,-200
130,-200.0,941,25,2.6,626,59,1316,1373,840,12.3,66.2,0.945,59
131,0.6,937,17,2.0,585,38,1412,1348,793,12.8,63.2,0.9283,52
132,0.9,1017,27,3.5,681,82,1246,1418,870,11.2,68.5,0.9081,64
133,1.3,1171,50,5.1,770,99,1162,1467,930,11.0,66.5,0.8705,70
134,3.4,1541,218,16.2,1185,263,770,1889,1407,11.7,63.7,0.8719,97
135,3.7,1539,285,19.7,1287,229,698,2055,1507,13.6,56.3,0.8743,95
136,5.3,1735,437,25.1,1431,396,628,2211,1843,17.8,42.9,0.8672,150
137,4.1,1571,327,20.0,1297,314,730,1973,1729,21.4,33.3,0.8417,162
138,3.3,1452,283,18.3,1250,217,776,1868,1583,24.4,27.4,0.8231,154
139,4.0,1579,366,22.3,1359,252,724,1998,1671,25.3,26.1,0.8264,161
140,3.8,1466,318,20.4,1309,263,773,1897,1491,25.8,23.2,0.7589,161
141,2.8,1280,228,14.6,1136,180,893,1675,1240,27.0,20.2,0.7094,128
142,2.9,1407,201,16.6,1197,184,905,1759,1313,28.2,18.6,0.7014,129
143,2.9,1389,199,15.8,1173,190,898,1739,1363,28.0,19.1,0.7098,133
144,3.4,1447,237,17.8,1235,184,859,1778,1296,23.9,25.7,0.7519,139
145,3.9,1551,261,19.1,1271,181,800,1875,1432,21.3,34.8,0.873,137
146,3.2,1474,230,15.8,1173,166,854,1776,1432,20.4,36.7,0.8704,143
147,5.1,1800,349,24.9,1426,317,700,2106,2034,19.0,41.3,0.9007,177
148,2.6,1379,183,13.5,1101,184,818,1710,1602,17.9,45.9,0.9342,138
149,1.7,1201,88,9.1,943,130,935,1560,1362,16.7,48.9,0.9226,117
150,1.7,1205,85,8.6,925,132,922,1547,1314,15.5,52.9,0.9271,107
151,1.2,1072,47,5.4,784,95,1066,1442,1114,15.5,51.9,0.9059,90
152,0.9,998,34,4.1,714,70,1169,1383,992,14.1,55.6,0.891,79
153,0.7,933,26,2.6,625,-200,1292,1332,884,13.1,57.9,0.8666,-200
154,-200.0,883,17,1.9,577,54,1396,1303,808,12.7,57.9,0.8447,60
155,0.5,869,11,1.6,554,28,1460,1268,667,11.8,58.0,0.8026,40
156,0.5,891,18,1.9,576,46,1417,1289,733,11.9,57.4,0.7978,53
157,1.6,1173,84,7.5,878,160,1038,1556,1052,9.9,65.2,0.7956,84
158,4.1,1587,260,21.4,1334,320,702,1999,1534,11.1,60.2,0.7958,108
159,6.6,1852,534,36.4,1696,377,553,2535,1931,14.1,50.0,0.802,127
160,4.3,1522,368,21.3,1331,280,703,2026,1734,17.7,40.1,0.8048,134
161,2.9,1438,200,15.4,1161,221,819,1782,1595,21.1,33.4,0.8265,135
162,2.5,1393,145,12.5,1067,210,905,1654,1490,24.3,28.3,0.8471,142
163,2.8,1452,188,15.1,1152,204,861,1747,1508,25.6,25.6,0.8254,153
164,2.6,1389,152,13.7,1108,161,887,1712,1334,25.9,25.9,0.8503,123
165,2.0,1207,103,10.4,994,135,1013,1520,1045,26.8,18.7,0.65,104
166,2.9,1365,193,15.2,1154,186,940,1679,1221,29.3,15.8,0.6309,129
167,2.5,1247,134,12.3,1060,147,1032,1525,1069,28.5,14.9,0.5708,114
168,5.0,1557,386,27.0,1478,299,793,1981,1569,25.9,16.0,0.5237,158
169,7.6,1973,577,38.4,1737,411,617,2414,2306,23.1,26.5,0.7403,194
170,6.7,1975,523,35.1,1667,347,597,2416,2359,20.5,38.2,0.9133,182
171,5.7,1795,472,27.2,1485,336,653,2174,2050,19.1,42.6,0.9294,180
172,2.8,1444,206,15.0,1150,202,770,1727,1727,17.2,44.1,0.8558,136
173,2.6,1488,216,15.7,1171,178,731,1778,1705,16.0,50.9,0.9206,127
174,2.3,1371,159,13.0,1083,154,796,1669,1551,14.8,53.9,0.9024,116
175,1.4,1161,70,8.1,904,92,947,1502,1240,14.3,55.4,0.8975,107
176,1.0,1064,44,5.5,787,61,1057,1407,1115,14.8,52.1,0.8686,88
177,0.7,970,42,3.6,687,-200,1196,1351,969,13.9,53.9,0.8501,-200
178,-200.0,954,28,2.9,645,60,1260,1334,925,11.6,61.9,0.8442,78
179,0.6,931,20,2.5,623,37,1293,1307,828,12.0,58.9,0.8233,57
180,0.7,938,26,3.0,650,68,1251,1333,893,10.9,62.1,0.8113,71
181,1.5,1166,78,7.7,885,139,1005,1551,1075,10.6,63.3,0.8067,85
182,4.7,1643,319,23.3,1384,339,667,2094,1610,11.5,60.0,0.8117,124
183,6.6,1934,506,35.8,1682,421,541,2468,2051,14.3,50.6,0.8186,151
184,4.5,1617,-200,21.3,1333,349,686,2010,1819,17.8,40.5,0.821,150
185,2.8,1473,-200,14.3,1127,224,831,1752,1568,20.8,34.4,0.8365,152
186,2.2,1379,-200,12.5,1068,171,899,1663,1374,23.8,28.2,0.8219,139
187,2.2,1385,-200,12.2,1056,149,891,1648,1268,24.2,28.7,0.8515,133
188,2.3,1379,-200,13.1,1087,137,901,1660,1144,25.2,24.9,0.7829,126
189,2.2,1322,-200,14.4,1129,149,934,1639,1109,27.0,17.8,0.6275,128
190,2.8,1496,-200,16.8,1205,172,822,1767,1347,27.1,23.1,0.818,169
191,2.7,1409,-200,14.5,1131,166,873,1689,1206,25.8,23.9,0.7832,149
192,3.7,1513,-200,21.5,1338,214,764,1957,1397,23.0,26.8,0.7446,156
193,5.1,1667,-200,26.4,1464,280,683,2118,1588,20.7,31.1,0.7523,168
194,5.1,1667,-200,26.0,1453,276,684,2051,1569,18.6,36.2,0.7676,176
195,3.2,1430,-200,14.1,1121,178,814,1732,1322,16.0,48.4,0.8768,135
196,2.1,1333,-200,10.3,989,129,885,1621,1194,14.5,57.8,0.9456,121
197,1.7,1262,-200,8.3,911,95,948,1545,1062,13.1,64.2,0.9606,99
198,2.0,1287,-200,8.9,936,126,918,1606,1040,12.0,69.7,0.9735,106
199,1.6,1134,-200,6.6,840,103,1021,1501,917,11.9,71.1,0.9915,96
200,0.9,999,-200,3.6,688,48,1229,1380,594,12.5,69.3,1.0029,63
201,0.7,961,-200,2.5,622,-200,1382,1301,430,12.5,67.5,0.9768,-200
202,-200.0,934,-200,1.8,569,20,1440,1280,397,12.3,67.7,0.9665,32
203,0.5,913,-200,1.3,525,18,1620,1260,370,12.5,66.8,0.962,28
204,0.7,969,-200,2.3,607,56,1373,1324,438,12.3,66.3,0.9487,61
205,1.5,1182,-200,6.7,845,115,1054,1539,704,12.4,64.9,0.9332,99
206,4.8,1740,-200,22.8,1372,320,671,2144,1476,13.0,61.6,0.9209,157
207,6.2,1819,-200,31.3,1582,357,575,2456,1716,13.6,58.8,0.912,166
208,4.0,1427,-200,19.2,1275,253,701,1980,1398,13.9,57.1,0.9032,149
209,3.3,1390,-200,16.4,1191,218,759,1879,1268,14.5,54.4,0.8917,135
210,2.8,1283,-200,14.0,1117,192,813,1751,1188,15.5,50.1,0.8744,127
211,3.0,1304,-200,15.3,1157,176,793,1801,1171,16.1,47.6,0.8655,122
212,3.3,1364,-200,16.7,1202,198,771,1875,1250,16.3,47.1,0.864,135
213,3.5,1410,-200,19.0,1268,212,724,1957,1344,16.4,47.5,0.8791,139
214,4.0,1476,-200,19.4,1280,249,708,1955,1378,16.1,50.2,0.9094,147
215,4.6,1522,-200,20.9,1320,270,690,2005,1435,16.0,50.7,0.9142,158
216,4.1,1442,-200,20.2,1301,231,704,1952,1372,15.8,50.3,0.8989,146
217,4.5,1469,-200,21.7,1344,251,677,1997,1471,15.5,50.6,0.884,144
218,3.9,1467,-200,19.8,1292,210,698,1942,1439,15.4,51.4,0.8956,138
219,4.0,1421,-200,16.7,1202,249,748,1854,1429,15.2,53.1,0.9117,143
220,2.2,1175,-200,9.1,945,143,904,1604,1081,14.7,57.6,0.9573,116
221,2.1,1215,-200,8.3,912,127,948,1547,993,14.2,58.3,0.938,109
222,1.7,1127,-200,5.8,802,104,1064,1447,837,13.8,57.9,0.9085,92
223,1.6,1090,-200,5.2,773,86,1105,1429,761,13.9,55.9,0.8842,83
224,1.3,1017,-200,4.1,718,74,1182,1382,650,13.9,55.6,0.8765,81
225,1.3,997,-200,3.4,677,-200,1252,1359,591,13.8,55.1,0.8666,-200
226,-200.0,945,-200,2.9,646,44,1308,1332,505,13.8,54.6,0.8574,55
227,0.8,956,-200,3.1,661,42,1260,1351,518,13.6,55.1,0.856,53
228,0.8,966,-200,2.5,622,63,1317,1342,571,13.6,59.0,0.9129,67
229,1.1,1064,-200,4.3,728,115,1161,1461,842,13.5,58.4,0.896,91
230,2.1,1300,-200,8.9,935,170,902,1623,1145,13.8,58.0,0.9083,113
231,2.4,1348,-200,10.5,998,147,834,1689,1218,14.6,53.1,0.8765,102
232,2.6,1425,-200,12.5,1068,166,776,1764,1341,15.0,52.3,0.8881,107
233,2.8,1474,-200,12.3,1061,195,768,1768,1406,15.4,52.1,0.9046,113
234,2.6,1490,-200,11.7,1039,182,782,1757,1422,16.3,50.0,0.9158,108
235,2.6,1495,-200,11.7,1040,168,809,1735,1373,17.1,47.9,0.9281,105
236,2.1,1376,-200,9.3,953,125,900,1636,1153,19.0,42.9,0.937,93
237,1.7,1305,-200,7.6,884,95,980,1573,927,19.5,42.3,0.9476,87
238,1.6,1283,-200,6.7,844,79,1036,1539,766,19.5,42.3,0.9493,76
239,2.1,1392,-200,9.7,967,119,930,1649,941,19.1,43.8,0.9556,94
240,2.3,1452,-200,12.4,1063,142,856,1774,1146,18.5,46.3,0.9744,110
241,3.5,1633,-200,16.6,1199,215,734,1919,1417,17.4,51.6,1.0159,136
242,3.9,1625,-200,16.4,1191,229,733,1885,1442,17.1,51.3,0.9914,139
243,3.3,1535,-200,13.7,1108,206,785,1820,1323,16.4,53.8,0.9964,125
244,2.3,1323,-200,9.9,973,147,864,1712,1125,16.2,55.4,1.0132,111
245,2.1,1309,-200,8.9,937,122,905,1672,1036,15.9,57.7,1.0356,97
246,2.8,1456,-200,10.6,999,175,835,1714,1202,15.7,58.6,1.0396,107
247,2.1,1300,-200,7.4,872,133,941,1577,1054,15.1,60.9,1.0398,90
248,1.6,1203,-200,6.2,823,89,1004,1526,903,15.6,56.6,0.9951,84
249,1.6,1195,-200,6.5,836,-200,987,1554,885,15.2,57.9,0.9941,-200
250,-200.0,1117,-200,5.8,802,85,1029,1539,818,15.4,57.8,1.0021,87
251,1.1,1062,-200,4.0,711,55,1136,1461,700,14.9,60.6,1.0196,66
252,0.7,947,-200,2.1,594,24,1300,1390,580,14.5,63.0,1.0316,36
253,0.8,1065,-200,3.6,687,72,1143,1492,815,14.2,66.2,1.063,62
254,1.2,1155,-200,4.4,734,122,1062,1528,1035,14.5,65.3,1.0704,91
255,1.4,1220,-200,5.4,782,111,996,1560,1067,15.3,62.1,1.073,89
256,1.7,1301,-200,7.1,862,123,914,1633,1114,16.3,59.0,1.0868,93
257,1.8,1279,-200,7.3,870,106,911,1646,1000,18.9,49.6,1.07,81
258,1.8,1267,-200,7.6,883,103,953,1617,906,19.4,46.1,1.0249,82
259,1.9,1239,-200,6.8,848,102,981,1568,822,20.8,41.6,1.0091,80
260,1.3,1128,-200,4.6,742,48,1144,1507,610,21.4,40.3,1.0126,48
261,1.6,1243,-200,8.4,916,63,962,1669,657,21.2,39.3,0.9791,61
262,1.9,1208,-200,6.9,853,98,1060,1506,647,20.3,38.0,0.8942,89
263,2.3,1306,-200,9.0,938,132,961,1607,762,19.4,41.3,0.9206,105
264,3.8,1546,-200,15.1,1151,173,769,1874,1122,18.5,43.8,0.9252,116
265,3.5,1501,-200,12.6,1071,185,823,1744,1130,17.8,48.1,0.9689,119
266,4.3,1605,-200,15.1,1153,266,769,1840,1637,17.9,46.9,0.952,144
267,2.8,1316,-200,9.9,974,188,883,1673,1272,17.4,49.1,0.9688,123
268,1.9,1195,-200,8.0,898,122,933,1594,1098,17.0,51.7,0.9914,105
269,1.9,1211,-200,7.9,896,112,920,1624,1066,16.4,55.1,1.0198,93
270,1.7,1161,-200,6.1,815,93,995,1582,909,16.1,60.0,1.0919,86
271,1.5,1095,-200,5.1,767,74,1050,1547,818,15.8,60.5,1.0805,76
272,0.6,897,-200,1.7,563,23,1417,1355,472,16.3,57.0,1.0491,33
273,0.4,842,-200,0.7,468,-200,1813,1274,394,16.9,53.9,1.0309,-200
274,-200.0,854,-200,0.8,481,17,1756,1304,396,16.1,55.9,1.0153,27
275,0.3,845,-200,0.7,472,15,1786,1278,378,16.5,53.9,1.0049,23
276,0.6,942,-200,2.0,586,41,1480,1373,432,16.4,54.0,0.9979,46
277,1.2,1090,-200,5.1,768,86,1072,1538,699,15.7,57.6,1.0195,76
278,3.6,1514,-200,17.7,1230,226,732,1996,1252,15.8,53.7,0.9571,116
279,3.7,1379,-200,18.4,1252,214,711,1962,1237,17.4,42.1,0.8281,115
280,1.8,1074,-200,6.9,854,115,1032,1484,772,17.9,38.4,0.7793,83
281,1.6,1090,-200,7.3,868,124,1026,1509,766,18.5,36.7,0.7764,87
282,1.9,1110,-200,9.6,964,122,947,1577,829,21.0,29.6,0.7263,90
283,2.0,1102,-200,10.4,994,107,955,1599,783,21.3,28.1,0.7067,87
284,2.2,1100,-200,11.2,1021,133,952,1607,822,21.3,26.1,0.6539,99
285,2.1,1094,-200,10.7,1003,130,965,1574,813,21.3,26.8,0.6681,99
286,2.3,1076,451,11.6,1034,150,964,1544,813,21.3,24.2,0.606,101
287,2.6,1152,185,12.4,1062,138,928,1606,850,20.2,28.5,0.6682,103
288,3.8,1407,426,18.3,1249,213,720,1932,1276,17.0,43.1,0.8264,129
289,4.4,1438,672,21.0,1325,232,678,1993,1401,15.6,47.4,0.8347,143
290,4.5,1425,624,21.0,1325,238,678,1965,1356,15.3,47.4,0.8178,146
291,3.3,1279,325,14.5,1131,180,775,1758,1243,14.5,49.7,0.8177,124
292,2.0,1132,143,8.4,916,128,920,1561,1083,13.9,52.0,0.8231,113
293,1.1,1006,89,4.3,729,65,1142,1370,795,14.5,49.4,0.8106,80
294,0.9,982,73,3.8,700,53,1204,1359,735,13.8,51.4,0.8071,72
295,0.8,969,48,2.7,636,47,1271,1309,684,14.0,51.3,0.8163,64
296,0.7,941,47,2.5,621,51,1298,1330,714,13.0,56.8,0.8444,70
297,0.5,892,36,1.2,522,-200,1522,1285,456,11.0,70.0,0.9215,-200
298,-200.0,855,25,0.8,478,20,1701,1261,401,10.1,76.8,0.9483,31
299,0.3,834,19,0.6,459,13,1908,1212,361,8.8,80.5,0.9147,22
300,0.5,909,26,1.8,567,33,1542,1287,418,9.6,75.4,0.9004,47
301,1.1,1061,60,4.6,745,103,1178,1429,616,9.8,75.0,0.9093,88
302,3.0,1441,248,14.2,1124,224,851,1829,1089,10.0,74.2,0.9117,130
303,3.8,1498,535,21.0,1325,244,684,2095,1329,11.2,69.7,0.9232,132
304,3.4,1343,340,16.2,1185,237,760,1857,1311,12.0,62.9,0.8803,132
305,3.0,1308,325,15.5,1166,220,792,1794,1236,12.8,55.8,0.821,131
306,2.7,1209,267,13.4,1097,207,837,1746,1147,13.1,54.8,0.8234,129
307,3.5,1310,325,16.9,1207,208,770,1847,1301,13.8,53.4,0.8351,132
308,2.8,1171,268,12.4,1064,160,881,1639,1097,16.0,42.4,0.7674,110
309,1.9,1112,136,10.1,980,131,924,1589,900,14.1,49.8,0.7971,99
310,2.0,1132,118,8.7,927,128,944,1570,781,12.0,61.1,0.8537,100
311,3.0,1225,276,13.8,1111,176,818,1719,1013,13.6,54.6,0.8465,122
312,1.9,1065,151,9.3,953,107,962,1514,790,13.7,49.5,0.7695,97
313,2.7,1236,236,13.0,1084,131,854,1688,1059,11.7,57.1,0.7822,112
314,3.3,1309,220,14.3,1126,166,812,1722,1205,11.5,58.2,0.7867,128
315,1.7,1089,87,7.6,884,89,1006,1487,975,12.6,54.2,0.7881,101
316,1.3,1000,81,5.3,776,81,1141,1375,896,12.0,54.9,0.7664,96
317,1.3,1041,74,5.4,782,78,1105,1425,911,11.0,61.4,0.8057,86
318,1.2,1045,55,4.9,756,70,1137,1411,902,11.1,62.2,0.8199,85
319,1.1,997,74,4.6,744,76,1151,1405,832,10.8,62.5,0.8082,79
320,0.9,948,35,2.7,634,43,1320,1326,715,11.3,60.0,0.8025,61
321,0.6,878,29,1.6,551,-200,1493,1272,683,10.6,61.6,0.7856,-200
322,-200.0,908,29,1.7,559,44,1477,1287,721,10.2,62.7,0.7813,66
