CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,target
3.6,1253,-200,13.3,1094,481,575,1327,1430,10.8,48.1,0.6235,183
1.4,938,-200,3.7,692,193,937,805,737,5.8,35.4,0.3286,149
1.7,1177,-200,7.3,871,244,660,1292,1192,12.7,69.9,1.0223,116
1.2,886,-200,2.3,608,-200,1013,1143,611,14.9,65.3,1.1018,-200
2.2,1303,-200,13.5,1102,403,536,1488,1323,11.8,66.3,0.9174,116
-200.0,1840,-200,44.0,1852,-200,360,2553,2143,24.5,49.5,1.5022,-200
-200.0,1086,-200,4.4,733,140,848,1064,883,5.9,72.7,0.6791,105
-200.0,943,-200,3.1,660,-200,1163,1297,862,11.6,58.8,0.7996,-200
0.7,838,-200,1.3,531,95,1146,774,753,1.0,52.2,0.3489,85
3.2,1170,-200,13.3,1095,358,618,1470,1195,15.2,58.4,1.0007,116
0.6,815,-200,2.6,628,33,1212,1426,689,14.7,65.2,1.0811,37
1.1,918,-200,5.3,778,165,864,1136,859,7.5,81.5,0.8495,68
0.3,679,-200,0.6,449,42,1666,800,314,10.7,36.1,0.4639,31
2.8,1490,-200,19.6,1286,188,593,2053,1447,16.6,55.9,1.0486,97
1.1,925,-200,2.9,649,186,1003,819,570,6.9,36.4,0.3635,142
-200.0,940,-200,4.0,712,-200,961,1499,848,20.6,76.2,1.8272,-200
1.8,919,-200,10.0,978,246,820,1180,805,13.1,38.5,0.5776,105
2.4,1163,-200,11.4,1027,353,604,1264,1269,24.3,23.7,0.7119,179
0.6,807,-200,3.5,681,41,1092,1435,765,24.8,37.8,1.1639,65
5.0,1399,-200,26.6,1468,479,531,2072,1442,31.2,31.4,1.3987,205
-200.0,897,29,1.3,529,41,1462,1101,693,12.2,37.2,0.5277,69
0.3,720,-200,0.6,458,33,1536,917,358,10.9,50.1,0.6519,26
3.3,1309,220,14.3,1126,166,812,1722,1205,11.5,58.2,0.7867,128
2.9,1438,200,15.4,1161,221,819,1782,1595,21.1,33.4,0.8265,135
1.0,907,-200,2.4,614,150,1052,782,627,5.1,37.9,0.3358,120
1.3,874,-200,3.1,657,129,985,867,930,1.5,61.4,0.4235,85
2.0,1016,-200,10.0,977,-200,951,1652,948,22.4,41.0,1.1006,-200
1.6,1080,-200,8.5,920,60,739,1761,772,27.8,57.4,2.1107,67
0.7,910,-200,1.8,570,73,964,1060,670,12.8,63.6,0.936,62
2.9,1261,-200,17.0,1210,173,736,1769,1200,30.9,19.1,0.8394,126
2.4,1171,-200,11.9,1045,322,570,1291,1149,24.5,23.1,0.6968,141
2.8,1143,-200,15.9,1176,312,677,1551,1108,27.7,25.1,0.9158,148
1.0,1020,-200,7.2,866,92,847,1636,744,26.9,40.3,1.4041,83
0.7,888,-200,1.1,511,71,1112,963,512,3.9,83.1,0.6787,66
3.3,1180,-200,14.9,1145,221,713,1929,1191,24.1,46.5,1.3802,128
6.5,1476,-200,34.9,1663,681,473,2167,1785,28.1,32.4,1.2173,225
2.8,1171,268,12.4,1064,160,881,1639,1097,16.0,42.4,0.7674,110
2.7,-200,-200,-200.0,-200,-200,-200,-200,-200,-200.0,-200.0,-200.0,-200
-200.0,867,-200,3.7,693,-200,971,1335,825,19.7,63.4,1.4383,-200
4.1,1423,-200,20.6,1314,501,508,1912,1466,20.8,70.9,1.7203,89
2.7,1303,-200,16.6,1198,332,578,1791,1235,21.9,64.8,1.683,83
2.2,969,-200,5.6,791,102,1084,1446,711,13.6,59.7,0.9271,80
2.9,934,-200,5.0,766,269,878,1047,836,8.9,57.4,0.6575,111
2.6,-200,262,-200.0,-200,219,-200,-200,-200,-200.0,-200.0,-200.0,121
6.8,1592,-200,33.3,1627,936,401,1957,1902,10.2,80.4,1.0003,166
2.3,1249,-200,10.5,996,457,593,1198,1575,14.5,33.4,0.5488,194
0.4,732,-200,0.7,472,37,1461,866,391,11.1,40.8,0.5395,32
2.7,1212,-200,15.0,1149,279,562,1710,1599,18.4,78.1,1.637,49
5.1,1676,-200,29.3,1534,305,496,2413,1828,20.4,55.7,1.3205,131
3.8,1252,-200,23.1,1380,305,579,2210,1462,20.5,52.3,1.245,117
0.5,751,-200,2.0,587,43,1165,1353,678,18.4,53.4,1.117,50
0.8,849,-200,1.4,537,107,1148,757,460,4.6,39.0,0.333,82
0.9,918,-200,6.0,810,87,936,1524,939,18.8,46.6,1.0027,78
1.2,1009,-200,2.8,640,151,915,996,613,8.4,56.3,0.6227,115
2.8,1150,-200,13.6,1105,557,629,1450,1160,12.5,71.3,1.0285,199
0.5,976,-200,1.8,568,78,891,1143,705,15.0,64.8,1.1007,63
-200.0,1035,-200,9.0,941,-200,734,1175,965,11.3,44.1,0.5909,-200
2.6,1175,-200,10.6,1002,492,668,1422,1059,13.0,77.8,1.1641,122
3.3,1322,-200,17.3,1219,574,682,1591,1472,14.5,61.1,1.0007,130
1.8,-200,-200,-200.0,-200,123,-200,-200,-200,-200.0,-200.0,-200.0,106
3.8,1214,-200,15.1,1153,721,612,1244,1626,8.2,40.5,0.4414,208
8.7,1615,-200,37.2,1712,1230,384,1811,2312,7.8,48.1,0.5115,225
3.5,1511,-200,21.4,1334,590,433,1804,1606,13.1,70.2,1.0567,146
3.0,1107,-200,14.5,1134,482,639,1172,1299,15.4,23.5,0.4076,167
1.4,902,-200,3.6,689,177,995,838,719,4.3,41.1,0.3451,128
3.9,1625,-200,16.4,1191,229,733,1885,1442,17.1,51.3,0.9914,139
1.5,1059,-200,6.1,816,77,1023,1468,641,25.9,28.7,0.9423,73
6.4,1655,-200,29.0,1527,966,393,1758,2203,10.3,52.4,0.6578,249
-200.0,988,-200,4.2,722,-200,1029,1500,874,14.1,70.1,1.1224,-200
0.7,810,-200,3.4,674,32,976,1530,793,24.4,58.6,1.7714,45
0.7,-200,-200,-200.0,-200,109,-200,-200,-200,-200.0,-200.0,-200.0,92
2.9,1309,279,14.3,1125,181,844,1687,1183,8.1,56.8,0.615,103
-200.0,859,-200,3.1,656,-200,1126,1213,582,23.6,40.5,1.1667,-200
3.5,1465,-200,18.1,1241,591,434,1572,1774,17.9,42.2,0.8557,132
1.0,939,-200,3.6,687,197,870,981,550,18.9,33.8,0.7312,123
-200.0,805,-200,2.0,583,18,1339,1494,527,18.0,76.4,1.5608,26
-200.0,1511,-200,30.8,1569,-200,476,2195,1601,17.4,70.1,1.3783,-200
0.7,792,-200,2.8,637,31,1249,1400,559,21.6,45.8,1.1715,43
1.3,1171,50,5.1,770,99,1162,1467,930,11.0,66.5,0.8705,70
2.6,1145,-200,9.6,962,391,657,1212,1192,4.3,78.9,0.6621,226
-200.0,963,-200,6.5,836,-200,1085,1429,920,16.0,47.9,0.8659,-200
2.6,1332,166,12.9,1082,215,707,1889,1242,16.0,78.5,1.4209,109
0.7,852,-200,4.0,713,92,1029,1203,749,15.2,58.3,0.9986,53
0.6,824,-200,3.5,683,34,1119,1270,393,38.1,18.5,1.2141,42
1.2,1054,-200,5.5,786,183,766,1129,699,4.2,80.9,0.6742,123
1.9,987,-200,10.0,979,130,923,1515,962,25.5,25.6,0.8218,101
1.7,1147,-200,9.6,964,165,668,1517,1116,20.6,62.0,1.4827,60
3.0,-200,-200,-200.0,-200,812,-200,-200,-200,-200.0,-200.0,-200.0,235
0.5,801,-200,0.9,494,73,1324,754,395,1.6,51.0,0.3561,58
-200.0,869,-200,2.9,648,-200,953,1401,644,22.7,60.8,1.6519,-200
3.5,1177,-200,20.5,1310,226,656,2011,1189,33.1,23.5,1.1673,145
2.1,1202,-200,9.5,958,302,732,1330,1181,16.0,58.1,1.0482,92
2.3,1202,-200,12.3,1058,416,647,1623,1152,20.0,69.6,1.607,82
1.0,849,-200,3.5,680,161,1015,741,461,11.9,19.2,0.2677,111
0.6,810,-200,2.2,597,-200,1255,1106,361,32.2,20.5,0.9699,-200
3.3,1357,-200,17.7,1230,404,542,1834,1373,25.2,53.3,1.6834,103
2.6,929,-200,2.9,645,148,962,906,524,9.7,45.1,0.5417,108
1.6,1077,-200,10.4,994,176,829,1429,1081,24.3,38.5,1.1525,101
3.1,1499,-200,19.8,1291,541,444,1653,1609,13.4,55.1,0.8444,107
1.8,1063,-200,10.4,991,200,655,1672,966,24.4,53.4,1.6031,104
2.2,1189,-200,12.4,1065,247,609,1683,1830,23.1,61.3,1.7131,74
-200.0,1110,-200,5.4,782,210,798,1101,954,6.2,72.3,0.6887,134
1.6,1107,-200,5.9,807,214,768,1546,836,21.0,76.8,1.8881,73
3.6,1342,-200,22.0,1351,216,657,2201,1419,23.7,50.5,1.4636,109
1.2,827,-200,5.1,768,233,972,1040,671,13.0,40.1,0.5989,103
-200.0,1035,-200,8.7,929,-200,887,1599,1009,10.2,70.9,0.8841,-200
1.1,859,-200,2.4,611,135,1053,918,562,8.8,52.1,0.5918,95
2.0,1100,-200,13.4,1097,277,739,1516,1106,14.9,59.2,0.9985,94
0.9,915,-200,2.1,589,105,1045,813,550,6.9,39.6,0.3966,90
0.5,765,-200,2.8,637,141,1138,1113,742,15.0,52.8,0.8929,74
1.9,1085,-200,12.2,1057,103,689,1775,836,32.8,32.2,1.5779,139
1.7,1097,-200,7.8,892,287,719,979,1423,4.9,45.9,0.3999,167
2.1,1327,256,9.8,971,124,803,1705,1120,21.6,41.7,1.0606,89
-200.0,1153,-200,17.7,1230,-200,616,1565,1296,16.8,57.8,1.0947,-200
2.2,1171,-200,13.1,1088,168,822,1889,1132,20.2,65.2,1.5251,81
1.0,-200,-200,-200.0,-200,63,-200,-200,-200,-200.0,-200.0,-200.0,59
0.4,844,-200,0.6,454,-200,1327,908,385,2.5,86.6,0.6407,-200
1.0,937,-200,3.7,694,194,915,1054,817,6.5,79.7,0.7751,81
-200.0,895,-200,5.4,783,-200,863,1502,575,26.0,45.0,1.4913,-200
4.7,1468,-200,22.0,1351,741,472,1783,1611,15.1,74.3,1.2623,127
1.2,-200,-200,-200.0,-200,51,-200,-200,-200,-200.0,-200.0,-200.0,63
2.5,939,-200,7.4,872,297,814,870,793,1.4,38.0,0.2615,142
-200.0,1022,-200,8.4,914,-200,1132,1446,847,26.4,23.1,0.7853,-200
-200.0,1036,-200,8.7,928,89,914,1787,909,21.9,60.9,1.5799,59
0.5,832,22,1.0,496,-200,1613,1066,381,14.2,36.1,0.5823,-200
1.5,1069,-200,9.2,947,89,728,1763,1039,25.2,51.0,1.6131,86
1.8,1144,-200,10.5,997,64,669,1816,1021,28.8,52.0,2.0297,63
0.7,949,-200,1.6,552,98,1035,919,531,8.8,50.7,0.5752,81
1.4,1002,-200,6.9,854,104,818,1513,779,21.4,68.5,1.7261,71
0.8,873,-200,2.0,583,94,1155,1108,642,14.7,67.3,1.1177,66
1.5,904,-200,7.5,877,117,890,1488,781,22.5,36.8,0.988,95
0.5,794,-200,1.8,567,35,1426,1306,406,23.5,35.2,1.0019,40
1.7,977,-200,8.3,913,104,744,1512,977,24.7,41.8,1.2839,81
3.0,1198,-200,14.6,1136,137,717,1870,1291,17.1,61.5,1.1873,103
0.6,1017,-200,6.5,834,61,986,1676,734,17.8,80.3,1.6212,59
1.6,1036,-200,9.1,943,109,770,1509,770,36.3,19.5,1.1539,118
0.2,716,-200,0.2,390,29,1804,551,221,-0.1,37.5,0.2326,27
1.5,1205,-200,7.2,867,243,601,1361,1294,16.6,70.0,1.3078,108
0.1,889,-200,3.8,698,27,1132,1234,437,40.2,12.3,0.8983,40
3.7,1200,-200,19.8,1290,214,657,2014,1196,14.9,56.9,0.9582,106
0.6,799,29,1.1,514,42,1615,1036,332,14.1,34.0,0.5442,59
-200.0,1219,-200,12.7,1074,-200,805,1532,1191,31.9,24.7,1.1477,-200
4.2,1440,-200,20.6,1312,760,537,1657,1515,9.6,80.8,0.9687,120
-200.0,1059,-200,11.3,1027,-200,1066,1521,764,31.3,15.8,0.7106,-200
1.2,1033,-200,4.9,759,154,735,1185,937,13.8,65.2,1.0275,117
1.8,984,-200,6.4,832,296,822,966,892,4.3,48.4,0.4043,184
1.8,1098,-200,10.8,1007,120,799,1546,937,41.3,13.0,1.0154,116
2.1,1169,-200,10.7,1003,350,665,1409,1126,15.6,62.0,1.0904,128
1.3,955,-200,3.6,687,277,895,1004,706,2.8,83.9,0.6326,180
-200.0,862,-200,2.3,609,82,1101,810,757,4.6,45.1,0.3861,74
1.3,1115,75,3.9,707,104,1105,1384,677,12.7,62.7,0.9173,93
2.4,1112,-200,15.4,1161,345,866,1499,1088,34.3,17.7,0.9416,151
3.0,1225,276,13.8,1111,176,818,1719,1013,13.6,54.6,0.8465,122
-200.0,1296,-200,10.0,977,-200,863,1642,746,26.1,30.8,1.0253,-200
-200.0,1033,-200,9.0,939,-200,729,1159,979,11.2,45.1,0.5971,-200
2.0,1018,-200,7.7,889,392,780,1085,1105,4.9,66.3,0.5786,118
1.6,1017,-200,7.9,897,96,1013,1400,780,28.2,19.0,0.7164,92
1.0,1136,31,3.3,672,62,1453,1333,730,10.7,60.0,0.7702,76
-200.0,1083,-200,12.0,1051,-200,939,1390,898,32.3,10.0,0.4747,-200
1.2,1198,-200,4.9,758,142,698,1277,1001,18.7,48.0,1.0259,107
2.4,1227,-200,12.9,1081,338,570,1396,1369,14.2,54.3,0.8757,133
2.1,1064,-200,12.6,1069,193,766,1766,1089,30.4,26.4,1.131,109
0.9,961,-200,6.3,828,132,892,1491,837,21.3,63.2,1.5794,66
0.5,852,-200,4.1,718,32,1109,1307,468,39.3,14.5,1.0149,47
-200.0,1026,-200,8.7,927,102,915,1781,878,22.8,56.1,1.5353,82
1.2,914,-200,4.6,741,-200,891,1210,803,17.1,59.2,1.1477,-200
0.4,834,-200,1.8,565,-200,1187,1444,473,28.8,49.0,1.9112,-200
2.5,1250,-200,10.3,989,327,665,1343,1204,10.6,79.4,1.0133,88
0.7,826,41,1.7,560,25,1424,1197,402,15.7,42.5,0.7539,39
0.8,957,-200,6.1,816,-200,846,1613,903,22.2,52.7,1.3891,-200
1.0,935,-200,8.1,905,88,899,1675,954,20.5,54.8,1.3073,69
2.1,1166,-200,12.3,1062,124,726,1825,924,37.2,25.5,1.5914,130
-200.0,854,-200,2.3,604,-200,1090,1317,625,23.7,38.6,1.1159,-200
2.0,1372,-200,17.0,1210,420,484,1629,1491,14.1,66.0,1.0539,139
2.0,1040,-200,7.9,893,296,723,1104,835,12.6,38.5,0.5586,150
3.4,1403,-200,25.6,1443,313,508,2234,1811,25.2,38.6,1.2215,142
0.7,969,-200,2.0,584,133,904,1021,899,10.7,59.6,0.7673,93
1.0,1025,-200,3.4,675,160,798,1257,828,15.0,73.2,1.2413,89
1.1,1068,-200,3.6,688,152,725,1289,926,15.2,71.5,1.2228,78
-200.0,1227,-200,14.9,1147,-200,612,1707,1113,27.4,39.8,1.4318,-200
2.6,1269,-200,12.8,1077,163,773,1706,1250,20.7,38.0,0.9149,137
1.8,1160,-200,7.1,862,259,636,1320,924,21.6,39.6,1.009,127
2.3,1352,-200,20.0,1296,211,534,1846,1337,26.4,45.9,1.5572,84
-200.0,825,-200,2.7,634,29,1035,1402,606,25.1,42.3,1.326,37
1.4,940,95,5.1,769,100,1103,1310,731,15.5,37.0,0.6447,90
-200.0,931,-200,5.4,784,173,826,1372,833,16.9,79.8,1.5238,72
1.5,990,-200,5.9,808,279,838,975,901,4.6,49.7,0.4271,176
2.5,1159,-200,12.1,1054,158,878,1603,1046,23.0,28.7,0.7976,120
-200.0,930,-200,5.3,781,-200,933,906,866,9.3,33.6,0.3958,-200
-200.0,1242,-200,15.3,1158,-200,602,1682,1252,22.8,53.0,1.4482,-200
0.3,872,-200,3.6,689,142,970,866,631,6.6,43.2,0.4247,107
4.1,1236,-200,21.3,1332,641,601,1683,1550,17.8,45.7,0.9224,152
-200.0,886,-200,5.0,764,-200,920,946,740,10.8,35.1,0.4549,-200
2.5,1155,-200,16.0,1181,167,580,1850,1302,24.3,47.8,1.4321,82
0.7,866,-200,3.6,689,57,1138,1456,767,13.1,70.2,1.0554,45
-200.0,1298,-200,11.0,1015,-200,647,1619,1056,24.7,51.9,1.5868,-200
0.4,839,-200,2.4,609,36,1276,1286,643,20.8,32.3,0.7813,59
2.3,1208,-200,13.6,1104,394,598,1699,1165,17.6,74.8,1.491,65
4.7,1383,-200,24.1,1406,502,824,1582,1678,29.9,22.3,0.9235,176
1.0,1049,-200,8.2,907,297,795,1038,1209,3.9,55.9,0.4568,145
2.0,1037,165,8.7,927,122,949,1426,740,18.3,31.6,0.6562,111
2.0,1094,-200,10.0,979,142,717,1633,1192,33.3,28.2,1.4189,119
0.8,976,-200,3.8,698,64,1156,1393,594,20.6,41.2,0.9841,64
-200.0,863,-200,3.9,707,-200,927,1407,537,25.0,47.3,1.4771,-200
0.8,824,-200,4.0,708,61,1091,1256,463,35.8,17.8,1.0274,67
-200.0,1150,-200,11.2,1020,180,686,1842,1169,26.5,46.3,1.5768,116
-200.0,1143,-200,11.8,1043,-200,643,1747,1079,29.9,39.6,1.6397,-200
-200.0,1152,-200,8.7,926,-200,854,1669,1034,15.8,60.4,1.0744,-200
1.6,1007,-200,5.7,798,253,793,942,867,9.3,34.6,0.405,155
1.1,1144,29,3.2,667,98,1490,1339,730,10.2,59.6,0.7417,82
2.0,1084,-200,7.0,859,272,703,1017,1163,1.5,66.2,0.4571,164
4.8,1443,-200,20.9,1323,757,486,1760,1487,14.2,78.0,1.254,115
2.1,934,-200,11.7,1041,203,865,1496,936,32.3,16.7,0.7946,136
1.5,1091,-200,5.3,777,209,711,1217,891,13.8,63.4,0.9916,105
1.4,1029,-200,3.3,670,154,800,1223,678,23.1,41.3,1.1506,87
1.6,1093,-200,5.5,789,241,771,1206,949,13.5,63.4,0.9755,127
1.3,1050,-200,7.6,881,162,732,1363,982,17.8,66.9,1.3464,69
3.6,1380,-200,21.8,1345,480,493,1856,1419,20.0,69.0,1.5956,92
2.2,1120,-200,13.4,1096,130,753,1767,976,21.5,39.7,1.0042,102
-200.0,1354,-200,24.5,1418,-200,749,2043,1629,21.8,35.0,0.9002,-200
0.9,838,-200,3.5,685,119,1176,1121,465,23.4,27.1,0.7681,54
-200.0,1209,-200,16.4,1193,-200,753,1737,1310,19.8,39.5,0.9016,-200
0.9,966,-200,2.8,639,153,843,1033,903,8.2,65.9,0.7168,103
0.3,845,-200,0.7,472,15,1786,1278,378,16.5,53.9,1.0049,23
2.8,987,-200,4.2,723,185,863,974,684,6.4,61.7,0.5956,126
3.6,1277,-200,23.4,1388,254,611,2241,1513,20.2,54.5,1.2777,100
0.4,738,-200,2.4,610,14,1281,1204,404,36.8,16.9,1.0347,24
0.6,820,-200,3.4,674,104,1024,1188,790,14.0,62.6,0.9948,64
1.0,1007,-200,7.6,884,278,780,1014,951,8.9,38.1,0.4341,163
